review,rating,date
"I have to be this hotel same day hard to get room. We like to provide best of our family to stay there and we liked became this place family environment.  We always enjoyed with our kids.  Best rooftop Garden and restaurant as well. Thanks for being part of our family.  I can say with budget price vest hotel in center with 24 our open also comfortable bed and best sleeping.
Trip type
Vacation
Travel group
Family
Rooms: 5
Service: 5
Location: 5
Safety
This is like my home
Hotel highlights
Luxury, Great value, High-tech",5,"a month ago on 
Google"
"This place is perfectly located, very close to Durbar Square and most major spots in Kathmandu. I would highly recommend it for its warm hospitality. The staff constantly checked in to ensure I was having a great experience. … More",5,"a month ago on 
Google"
"Only my favorite place in thamel center of Kathmandu valley. Room excellent, breakfast expectable.  Roof top garden restaurant with best whiskey was amazing. Staff are all professional and helpful also politely provide services. Hot shower amazing on this weather. Thanks to karma teams. More",5,"a month ago on 
Google"
"I stayed for 2 months in Nepal, doing Langtang, Annapurna, Everest Three Passes treks, as well as Chitwan and other site seeing. Every time I returned to Kathmandu I stayed at Karma Travelers House. This place made me feel like it was my …
Read more on Tripadvisor",5,"a month ago on 
Google"
"We have stayed for 1 week hotel really great. Staff are really professional. Cook make really great Nepali food. Comfortable bed. Center for walking to shopping. 24 hour open really enjoyed. My friend all as bachelor goat. Great location for young man .
Trip type
Vacation
Travel group
Friends
Rooms: 5
Service: 5
Location: 5
Rooms
Clean, comfortable, luxury, everything.
Hotel highlights
Luxury, Great view, Romantic, Quiet, Great value, High-tech",5,"a month ago on 
Google"
We didn't hope that much service with budget price in thamel center . Karma travellers home we stayed as our good karma. Hotel comfortable . Room best and service excellent . wonderful hot shower . prime location walking distance to … More,5,"a month ago on 
Google"
"Usa as usha rage , Arjun smile as arjuna, Anjan really helpful.  Housekeeping all are nicely work. Hotel 24 ours opened so professional and well treat. Thankfully treated us as family.  You sre all sweets and professional.  Excellent services,  really like hot water. More",5,"a month ago on 
Google"
Onely one best place in thamel we have been staying at this hotel for 10 days for official work. All team like my part of my family. Thanks Arjun and Kedar sir you are a great person. You provide us American breakfast 🥞 was still in my … More,5,"a month ago on 
Google"
Only one my best place in thamel center. My friend always like this place hot shower and WiFi great. Breakfast American had so memorial thanks cook arjun. You are great. Bed comfortable. Amazing place More,5,"a month ago on 
Google"
"Don't miss to stay karma travellers home this is my best places in Kathmandu Nepal. You get with budget Price Best service here. Professional staff
Breakfast at rooftop top topic … More",5,"a month ago on 
Google"
"Positive aspects include friendly staff, good location near markets, and comfortable, well-kept rooms.
Safe and affordable options near institutes score higher if they are clean. More",5,"a month ago on 
Google"
"Hotel in center of kathmandu, they have travel and ticket service also. People are friendly also helpful.
Hot shour is the best in City center. … More",5,"a month ago on 
Google"
"Nice place, wonderful service, beat location also friendly staff. Rooftop garden restaurant also beautiful. You are amazing team. Safe as like my home. Thanks for your expectable service. More",5,"a month ago on 
Google"
"Excellent service, best people, wonderful food , whisky and service was unforgettable. One of the best hotel in Kathmandu. Thanks for excellent service and comfortable bed. We sleep really well. More",5,"a month ago on 
Google"
Best place in thamel I got different locations before and my driver take me different hotel was not good. Karma travellers finally in jp marg thamel Kathmandu Nepal. So nice and comfortable bed new also best place in thamel guise please once you may stay in thamel area in karma travellers home only. Thanks More,5,"a month ago on 
Google"
"Only one my favourite place in Kathmandu center. While I am in this hotel I feel as my home.
Really helpful staff … More",5,"a month ago on 
Google"
"Hi guys don't miss to stay with budget and comfortable place in thamel center of Kathmandu. You are looking cheap and budget place with comfortable bed , clean and  really friendly staff. Good location. Great value. More",5,"a month ago on 
Google"
"Wow,wow,wow,super travel and hotel in thamel Kathmandu Nepal. We have been one week l like to stay in this hotel as family so friendly and wonderful staying with them. We are being as really best friend with them we will not stay anywhere else again. I like to recumbent this hotel always. More",5,"a month ago on 
Google"
"Super location,super hotel in Nepal, super friendly staff, clean and really comfortable, are you being in thamel pls don't miss to stay in this hotel.
Budget room … More",5,"a month ago on 
Google"
"Nice hotel with very helpful staffs and centrally located, neat and clean rooms with good WiFi coverage and found the reliable laundry service with Beautiful 360⁰ rooftop view. More",5,"7 months ago on 
Google"
"I felt very good staying in Premium Hotel. The hotel is very clean, the room is very decent, spacious enough room and bath for one or two people, I am a solo traveler. It is really value for money hotel. There is hot water 24h. There is a … More",5,"7 months ago on 
Google"
"The staff were very friendly and helpful, making the stay pleasant. I would definitely stay here again. More",5,"7 months ago on 
Google"
"Perfect location, many nice coffeees, places to eat around. The staff was always helpful and kind. Room cleaning always available. I had good experience. Recommended More",5,"7 months ago on 
Google"
"I highly recommend this hotel to stay in Thamel. The room was clean and with heaters.  The wifi was strong in the rooms. The food they serve here is very tasty and clean. The chef Rajkumar really cooks well and I loved his Thukpa and hot …
Read more on Tripadvisor",5,"7 months ago on 
Google"
"Recently stayed at Hotel premium, and overall it was great experience,  would definitely recommend 👌 … More",5,"7 months ago on 
Google"
"Stayed on and off in between trekking and I couldn't recommend more! Very friendly and accommodating staff, looked after my bags inbetween, very nice rooms with hot shower and comfy beds for a good price! Would definitely stay again More",5,"7 months ago on 
Google"
"Unfortunately I can’t recommend staying at this hotel. We have got room at 6th floor without an elevator although it seemed like the hotel was half empty, there is no hot shower and the sheets were unclean. Staff are nice though More",5,"7 months ago on 
Google"
"Very nice and clean location is best place  near to thamel
Rooms: 5…
More",5,"7 months ago on 
Google"
"Very nice room with all basic needs.
Service was friendly and quick.
Rooms: 5…
More",5,"7 months ago on 
Google"
"The location first class, staff good, but |noise coming from the street all night long particularly from the taxi rank which is just outside the hotel.Manager bad and a cheater. Gave me a very small VERY DUSTY single room, instead of the …
Read more on Tripadvisor",5,"7 months ago on 
Google"
"I was able to find this location through my trekking company and I was grateful they had a recommendation for me as I just wanted something simple. I was able to look at the room prior to booking it and that was nice. I decided to take the …
Read more on Tripadvisor",5,"7 months ago on 
Google"
"I stayed here on and off for about 6 weeks over an 11 week period and thoroughly enjoyed my stay. First of all the management and staff were very friendly, helpful and totally professional. I felt they genuinely cared about me as a guest. … More",5,"7 months ago on 
Google"
"We went to Kathmandu and slept in Hotel premium for 4 nights. It's clean, in the neighborhood of Thamel (must seen place of Kathmandu, full of shops and life), views of the city from the terrace, cheap and the food they cook is delicious! …
Read more on Tripadvisor",5,"7 months ago on 
Google"
"Great people, great room. Hot water in the shower all the time, comfy bed, right in the center, great cafe, rooftop place has fantastic view, the staff is so lovely and welcoming. I loved it! More",5,"7 months ago on 
Google"
"The hotel is strategically placed - close to Old City, Thamel, Ratna Park, Tourist Bus Park etd. Staff is kind and helpful - also with bargaining for a taxi or keeping your backpack for free in the hotel when you want to travel somewhere …
Read more on Tripadvisor",5,"7 months ago on 
Google"
"When in Kathmandu, you may need to slightly lower expectations of luxury, or pay Western prices. At Hotel Premium, you get hot showers (a big deal) a clean room, someone always at the front desk, a great location, soap and toilet paper... …
Read more on Tripadvisor",5,"7 months ago on 
Google"
"Room was nice, bed was comfortable, no hot water (but not an issue).|Good and quiet location close to Thamel (within walking distance).|No access to the rooftop when we wanted, but this was not a big issue.",5,"7 months ago on 
Google"
"Clean and big rooms.
Toilet has hot water with stable pressurization.
Rooftop view is very beautiful. … More",5,"7 months ago on 
Google"
"Exactly what a backpacker requires for a night or three in Kathmandu city.  Can be extremely noisy due to the category of guest.  Beware of the taxi booking service, which is SUPER expensive (and blamed on the high import tax of …
Read more on Tripadvisor",5,"7 months ago on 
Google"
